Название,Автор,Описание
Великая Охота,Элиан Тарс,"Я не герой. Герои не наслаждаются кровавыми битвами, не пожирают своих врагов. Я не имею привычки помогать всем подряд, и уж тем более не следую какой бы то ни было благородной цели. Я лишь развлекаюсь, спасаясь от скуки долгой жизни, и зарабатываю деньги. Но если речь идет о жизни любимой ведьмы, почему бы заодно не спасти от гибели целое королевство?"
Погоня за химерой,Гедеон,"Клон-солдаты - основа Великой Армии Республики. Вышколенные, обученные, прекрасно знающие, как себя вести по обе стороны от бластера. Только что делать, когда все эти знания бесполезны, а задача - всего лишь скрытно доставить двух девиц в Храм Джедаев? Правда, доставить из мирного города. Вражеского города. И совершенно не ясно, на чьей стороне эти самые девицы."
Скагаран 2: Невидимое Солнце,Константин Костин,"Говорят, это не наша родная планета. Новая Земля... впрочем, кто ее сейчас так называет - ""Новая Земля""? Давно уже просто ""Земля"". А ту, старую Землю, с которой человечество 117 лет назад закинуло сюда, давно называют ""Старая Земля"".   Как, почему, и зачем мы оказались на этом куске камня, бесцельно блуждающего по космосу, никто до сих пор не знает. Мы даже не знаем, жива ли та, Старая Земля, наша большая Родина. Сгорела в пламени Третьей Мировой Войны, разлетелась по бескрайним просторам вселенной мелкими кусочками, столкнувшись с очередным метеоритом, одному из которых и приписывают наше появление здесь, или человечество достигло высшего уровня развития, когда может существовать без войн, пищи и денег.   Мы не можем. Ни без войн. Ни без пищи. Ни, тем более, без денег."
Город для хранящего,Татьяна Гуркало,"Если гора не идет к Магомету, значит он пойдет к горе. Примерно такое решение принял Совет Великих и проголосовал за проведение еще одного ритуала. Опасного ритуала, энергоемкого и абсолютно бесполезного, как оказалось. Город категорически отказался признать хранящим достойнейшего из достойных. Совет в шоке и не знает, что еще можно предпринять. Атана, которая знает в чем дело, тихо и незаметно ищет хранящего, который и без всяких достойнейших есть. А сами достойнейшие обиделись. Сильно. И хотят мстить за унижение, только не знают кому."
Шаман. Ключи от дома,Калбазов Константин Георгиевич,Аннотация отсутствует.
Скил,Дмитрий Сиянов,"Человек попадает в мир полный опасностей, мир живущий по своим жестоким законам. Здесь не живут, здесь выживают. Или все же можно жить, а может даже радоваться жизни? Кто знает. Всё зависит от человека, от человека и его умений, умения приспосабливаться, умения нестандартно мыслить, умения собирать в кулак волю, умения радоваться мелочам, умения ЖИТЬ, ЖИТЬ ВОПРЕКИ!"
Пыль чужих дорог,Мартин Аратои,"Казалось, что ты через многое прошёл и многое испытал, что цель близка. Но новый мир оказывается не таким как ты думал, и старый преподносит сюрпризы. Докажи, что ты достоин награды, покажи все на что способен, но постарайся при этом уцелеть. Скальд прибывает на Эрзан и готов поведать нам новую историю.."
Земли Меча и Магии. Витязь,Серж Орк,"Компьютерные игры привлекают всех, от мала до велика.И точно также, как привлекают, они затягивают и поглощают игрока. На заре ""Земель"", в альфа-версию данной игры начали играть двое, сын и мать.Что из этого получилось, вы узнаете, прочтя книгу ""Витязь""."
Шатун,Евстратов Василий,"Произведение написано по мотивам мира S-T-I-K-S, за авторством Артема Каменистого. Алексей Мишин, Младший унтер-офицер (урядник) отдельной гренадерской роты 16-го Сибирского стрелкового полка проснулся в мире Улья."
Земли Меча и Магии. Светлая Волшебница. Книга 1,Серж Орк,"Ты - старшеклассница, которая влюбляется в старшего брата своей подруги. А он - срывается в виртуальной игре. Твои родители против того, чтобы ты и дальше поддерживала с ним отношения и общалась. Хватит ли сил у твоей любви к нему, чтобы преодолеть все преграды?"
Пропаганда зла,Леонид Наумов,"Самое страшное в жизни, это не знать кто ты, но иногда ещё страшнее, узнать это. Что если за твоими плечами столетия, окружённые смертью и кровью? А мир, окружающий тебя, совсем не такой, каким ты его видишь? Сверхъестественные твари сумеречного мира, вампиры и оборотни, ведьмы. Всё это лишь одна из граней твоего мира, которую ты отвергаешь. И чтобы выжить, тебе придется принять то, кто ты есть."
Герой для Богини - Начало,androctonus2011,"Пангея. Мир магии и меча. Мир, в самом начале Великой Войны. Войны людей, что бросили вызов всему миру. Уже призваны первые Герои и люди готовятся пролить первую кровь. И лишь только Она способна помешать им......Говорят: «Если долго всматриваться в Бездну, то Бездна тоже посмотрит в твои глаза».Но увидев рубиновые глаза этой загадочной девушки мне захотелось сказать совершенно другое:«Если ты улыбнешься Бездне, то возможно, и она улыбнется тебе в ответ»."
Шанс,Нина Новолодская,"Если ты молодая девушка, волею судеб проведшая в инвалидном кресле десять лет, не печалься – и в новом мире ты сможешь даже танцевать! Если у тебя нет никаких особых ""сил"", не опускай руки - и ты станешь лучшей на курсе, сможешь обрести могущественных и смелых друзей! Если ты чувствуешь себя одинокой и никому не нужной, верь - и мужчина мечты будет только твоим! Дай себе ШАНС."
Последний паладин. Книга вторая: Дозор вечности,Евгений Скребцов,"Он умер и воскрес в мире популярной игры. Теперь ему нужно многое сделать: разобраться, кто и зачем вернул его к жизни, защитить свою семью, найти и покарать виновных в своей гибели. Но самое важное – ему необходимо понять кто он. Приключения Родомира продолжаются. И это уже не игра..."
Империя Луриона,Алексей Бланд,"Бывший киберспортсмен Сергей переживает не лучшие времена. Прошло уже больше двух лет после «срыва» в виртуальность и долгого периода реабилитации. Однако судьба подбрасывает новый вызов. Корпорация «Нью-Гейт», установившая монополию в сфере онлайн развлечений приглашает всех ветеранов присоединиться к новой игре полного погружения…Необъятный мир Империи ждет своих героев! Битва за топовые позиции началась. Но уже очень скоро приходится спросить себя, как далеко ты готов пойти, ради награды в 200 миллинов? А тут еще ИскИн нового поколения захватывает контроль над игрой. Владыки Хаоса нарекают своим посланником. Мир Унталирии перерождается, сменяясь новой эпохой… Остается только понять, какая у тебя роль во всем этом безумии?"
Дело второе: Браватта,Виталий Останин,"В столице герцогства Фрейвелинг - паника. Загадочный убийца, охотится на женщин и водит за нос стражу, не оставляя следов и улик.Добрые горожане трясутся от страха в своих домах и ругают власти. А у тех - другие проблемы - Герцогский Совет пытается принять решение о вступлении Фрейвелинга в Конфедерацию, но безрезультатно. Очередное заседание срывается из-за мятежа, поднятого одним из провинциальных дворян. Точнее даже не мятежа, а браватты, древнего дворянского обычая, значащего дословно “право на мятеж”.Северяне готовятся к войне с Фрейвелингом, с Востока приезжают странные послы, шпионы говорят о древней магии... И во все это, как всегда, против своего желания замешан владелец остерии ""Старый конь"" Мерино Лик по прозвищу Праведник. Который всего-то и хотел, - издать кулинарную книгу."
Поводырь,Андрей Дай,"Российская империя, вторая половина 19 века. По Великому Сибирскому тракту к месту своего назначения едет новый губернатор Томской губернии, в тело которого неведомым образом из глубин небытия была запущена грешная душа губернатора Томской области начала 21 века."
Древний голем.,Nooby,"Древний, древний голем стоит незыблемо и ждет чего-то. Возможно спустя века он сдвинется с места? Каков будет его путь и какие цели преследует он? А, кто такие Древние? Эльфы, гномы и т.д. прилагаются."
"""Идущий на смех""",Геннадий Логинов,"Некогда неприступные, замки рушатся под шквалом артиллерийского огня, а пули из мушкетов и аркебуз пробивают рыцарские латы. Кавалеры сменяют тяжёлые мечи на изящные легковесные шпаги, кирасы на дублеты, обзаводятся колесцовыми пистолетами и пытаются выжить в стремительно меняющемся мире. Кругом наблюдается расцвет искусств, наук и ремёсел, возрождается интерес к античной культуре. Эпоха глобальных и неотвратимых перемен. Эпоха Возрождения, или Ренессанс."
"Создатель Героев. Не больше, чем человек",Юрий Розин,"Спасенная империя осталась позади, но покой нам только снится. Новый кусочек огромного мира принес с собой новые тайны, новые испытания, новых врагов и новых друзей. Трое молодых людей, оказавшиеся без поддержки, без цели, без плана, будут вынуждены приложить все усилия, чтобы выжить. Выжить и стать настоящими героями."
Утверждение правды #6,Надежда Александровна Попова,"Священная Римская Империя, 1397 A.D. Следователь Конгрегации Курт Гессе направлен в горный альпийский лагерь, где готовят лучших бойцов Инквизиции. Просто очередная рутинная тренировка, каких уже был не один десяток, ничего более. За много миль от лагеря в замок Карлштейн, императорскую резиденцию, прибывает агент Императора. Просто доклад об успешно исполненном поручении, данном ему государем, ничего более. А в Прагу тем временем съезжаются рыцари со всей Империи, дабы принять участие в грандиозном турнире. Просто демонстрация воинской удали, стяжание славы и серебра, ничего более. По крайней мере, так должно было быть."
Нагибатор-3. Проклятый убийца,Андросенко Александр Дмитриевич,"С момента Судного дня прошло целое лето, принесшее множество перемен. Нагибатель Всемогущий прошел обучение в Свободной Лиге и взял 50-й уровень, Вика провела лето в деревне, КК и Фениксы помирились, а над ГГ так и довлеет Проклятие Пиаста, не позволяющее нагибать в производственных масштабах. Впрочем, локальные успехи тоже греют сердце..."
Охотник за головами,Дмитрий Манасыпов,"Истории мира, уничтожившего собственную магию. Мира, не помнящего про нее. Мира, живущего на тонкой грани с другим, темным, опасным, жадным... Охотник за головами. Наемник. Человек без прошлого. Мастер меча. Освальд из Старой Школы. Идущий по своей дороге и не знающий, что прячется за новым поворотом. Поворотом в мире, где снова сгущается тьма. Добро пожаловать)"
Одиночка. Акванавт,Калбазов Константин Георгиевич,"Что делать, если вдруг обнаруживается, что ты неизлечимо болен и тебе осталось всего ничего? Вопрос серьезный, ответ неоднозначный. Кто-то сложит руки, и болезнь изъест его куда раньше срока, назначенного врачами. Кто-то вцепится в жизнь и будет бороться до последнего. Но любой из них вцепится в реальную надежду выжить, даже если для этого придется отправиться к звездам. И нужна тут сущая малость — поверить в это. Сергей Пошнагов, наш современник, поверил. И вот теперь он акванавт на далекой планете Океании. Добыча ресурсов, схватки с пиратами и хищниками, интриги, противостояние криминалу, работа на службу безопасности. Да, весело ему теперь приходится, ничего не скажешь. Но кто скажет, что второй шанс на жизнь этого не стоит?"
Треба,Сергей Малицкий,"Третья книга цикла «Пепел богов». О нем многие забыли, но воин, по вине которого случилась Пагуба, затопившая Салпу болью и смертью, воин, благодаря которому Пагуба отступила, все еще жив. Он продолжает путь, который может как уничтожить мир под раскаленным небом, так и спасти его."
Создатель Героев. В шаге от безумия.,Юрий Розин,"Стараниями уже знакомой компании еще одна страна поставлена на правильные рельсы. Однако дальше будет лишь сложнее. Обратный мир принесет множество новых испытаний. Чтобы пройти по враждебной земле и остаться целыми, нашим героям придется действовать на пределе возможного. Однако когда человек подходит так близко краю, не мудрено сорваться. Ведь если хочешь получить настоящую силу, придется пройти буквально в одном шаге от безумия."
Уйти на Запад,Денис Миллер,"26 апреля 1865 года пароход ""Султана"" вышел из Мемфиса, штат Теннесси, имея на борту до хрена и даже больше пассажиров. ""Больше"" - это имеется в виду никем не учтенный попаданец из нашего времени Денис. Ну и началось.... Главное - найти хороших друзей, а все остальное приложится"
Противостояние.,Тайниковский,"Что делать людям и другим разумным существам, когда в один миг, два совершенно разных мира, объединились в один? Ответ очень прост - выживать! Причем всеми доступными и недоступными способами! Пойдя в традиционный майский поход, мог ли предположить главный герой книги, что он обернется ему битвой с гноллом, получением уровней, или приобретением новых сил, с помощью которых он может превзойти собственные пределы, становясь на ступеньку(а то и на несколько) выше обычных людей? Узнать о том, что сильнее, фаерболл или выстрел из базуки? Пуля, или пущенная эльфийским лучником стрела? Что быстрее, машина, или ездовой варг степных орков? Ответы на эти вопросы, и многие другие, вы найдете прочитав мою новую книгу ""Противостояние""."
Спор богов. Герои vs маги,Баковец Михаил,"Когда боги не могут решить спор между собой, то они привлекают смертных. В мире Эанит долгие века идёт тихое соперничество между небожителями, что выступают за развитие смертных на пути магии и их противниками и тех, кто ратует за технологическую цивилизацию. Волею последних в Эанит попали сотни землян – лишь со своими знаниями и волей к жизни. И только один на сто человек получил от богов высокотехнологическую вещь – Артефакт. За каждый шаг землян вперёд по ступенькам становления нового технологического общества в Артефакте раскрывается очередная уникальная способность."
Псимаг-2 - Хоровод Невест,Ефанов Сергей,"Главный Герой получил титул князя и состояние, завещанные отцом, а также двух принцесс в невесты. Но неужели на этом всё?Нет! Теперь вокруг него собирается целый хоровод девушек из разных стран мира, да и некоторые старые подружки неожиданно возникают на горизонте. Что же им всем от него нужно?А может быть, они просто все в него влюбились?"
Гильдия. Сердце Войны. (Книга 2. Том 2),Евгений Бергер,"Вайз пытается найти свою Гильдию, дабы спросить помощи в нелегком вопросе спасения Арканара, города авантюристов. Да только герою все никак не везет."
Царь зверей 5. Древняя сила,"Антон Емельянов, Сергей Савинов","Джи – самая крутая онлайн-игра во всех вселенных, в которую играют все разумные расы…«Время вечности» получило возможность начать полноценную атаку на Землю и вряд ли упустит свое. Что же ждет нашу планету дальше? И жалеют ли Александр и его друзья о своем выборе, что привел к такому плачевному итогу?Впрочем, что за глупые вопросы? Конечно же, нет, и у них есть план, который должен перевернуть все с ног на голову. Вот только планы есть не только у них…"
Страж Перевала. Книга 1,Жгулёв Пётр,"В результате случайной встречи, герой обретает магические силы и, подготовившись,  через какое-то время переносится в другой мир. Там он пытается обосноваться в одном из местных государств и, вступив в гильдию, продолжить изучение магии.  Первая книга посвящена подготовке, переносу и обустройству в новом мире.зыСтраж перевала - это дракон, который перекрыл единственный проходимый путь через горы."
Практическая работа для похищенной,Купава Огинская,"Что делать, если вас похитили? Посочувствовать похитителю."
Черные стрелы 2,Игорь Конычев,"Когда на смену войне приходит столь желанный мир, настороженность людей сменяется безмятежностью. Но пролитая однажды кровь не исчезает бесследно. Как все тайное рано или поздно становится явным, так и расплата за содеянное приходит неминуемо.Тенро вернулся домой к старику-отцу в глухую деревушку на отшибе королевства Арстерд. После войны он желал лишь одного - оставить пережитые кошмары за спиной и начать новую жизнь.Старые шрамы, что оставили на теле бывшего разведчика клыки войны, почти затянулись, но призраки прошлого вновь оказались на пороге его дома.Чтобы защитить близких, Тенро должен встретиться с теми, кто до сих пор мучает его в ночных кошмарах."
Огонь в твоих глазах. Обещание,Любовь Черникова,"Договор дороже денег. Так повелось издавна.Договор дороже свободы и жизни, но Кира готова даже на это. Ценная заложница, бесправная любовница, а, может, прилежная ученица – кем предстоит ей стать по воле нового Защитника?"
Город в наследство,Татьяна Гуркало,"Однажды один юный маг получил наследство и узнал о себе тайну. Он мог бы отказаться и от того, и от другого, но не сделал этого. Мало кто сумеет отказаться от того, что окрыляет, какие бы трудности в довесок к этим крыльям не достались.Первая книга"
Хранитель.,JeniaK,"Произведение написанное в рамках проекта ""Земли Меча и Магии"". Посвящается реакции нашей реальности на эффект ""Срыва"" и взаимодействия с мультивселенной."
Мастер божественной крови. Книга 1 - Правда о мире,Ink O.N. Papyrus,"Мир оказался не тем местом, которым его считали, но Инк Фейт не волнуется об этом, потому что ничего не помнит о своей прежней жизни. Оказавшись в таинственном белом пространстве он начал новый путь. Получив всего несколько заклинаний магии крови он решил доказать, что способен стать лучшим там, где провалились представители древних и могущественных сил. Инк Фейт начал путь мастера божественной крови, чтобы добиться вершины во всех мирах. И пойти еще дальше – за пределы звезд."
Ненависть Розамунды,Лавэн,"""Да, я любила Гитлера, и когда его не стало, появилась ненависть"". Один из ответов Розамунды, в первом и последнем интервью."
Драгонар.Наследие,Sharvad,"Порой, спонтанное решение, или случайная встреча может в корне поменять твою привычную жизнь и ход мыслей, изменить твои ценности и мечты. А что если, все что ты считал своим выбором, было лишь иллюзией? А может, вся твоя жизнь сплошной обман? Но есть одна неизменная вещь, которую у тебя не отнять – твое наследие."
Девочка-волшебница Николай.,Евгений Бергер,"Всем привет! Меня зовут Коля и я люблю подглядывать! Ммм... Нет, не так... Меня зовут Николай и я вуайерист, что наделен волшебной силой.... Ммм... Опять что-то не так. Может быть – меня зовут Николай, и я извращенец, который оказался не в то время не в том месте? Больше похоже на правду! Дикие погони, куча разврата и насилия, ну и конечно же – няшечка фамильяр, которая с удовольствием сделает яичницу из ваших (и моих в том числе) яиц на завтрак, оборотни, вампиры, демоны и прочая дичь, что не дает мне покоя. А так же дикие оргии, извращения всех сортов и форм, ну и конечно же сиськи!!! Этого добра будет много (Я так на это надеюсь!)! В общем... Скачивай, пока не прикрыли! РКН не дремлет..."
Когда взойдет Северная звезда,Андрей Акулов,"Старуха Сиэль говорила, что есть миры, в которых характеристики живых организмов не выражены в цифрах. Мол, там полностью отсутствует интерфейс. Вот же врет! Так не бывает. Впрочем, она ведь ценга, а разве можно верить ценгам? Как вообще можно жить и не видеть прогресса в цифрах?Почему я вам это рассказываю? Просто качаю красноречие.Красноречие +1 Ап! Что я говорил! Устраивайтесь поудобнее. Я собираюсь хорошенько прокачаться!"
Книга 2. Возвращение блудного императора. (Артефактор+),Седых Александр,"Простого возвращения артефактора в родной мир не получилось. Новые подруги и новые приключения сами нашли его. Неожиданные встречи влекут за собой, с виду, обычные проблемы, оказывающиеся в результате глобальными и не только для судьбы самого мага. Все события подталкивают его к вершинам власти и, как бы он ни упирался, придётся взваливать на себя груз проблем, причём не одного мира."
Мир Эртании,Ли Сергей,"Что если мир, в котором ты очутился для всех остальных всего лишь игра, а для тебя самая что не наесть реальность? Конечно же, стать самым сильным игроком. Попутно можно поискать таких же, как ты, а кого найдешь лучшего друга или смертельного врага тут уж как повезет"
Целитель. Пришельцы и сокровища,Богдашов Сергей Александрович,"Что будет, если обычный россиянин встретит обычных инопланетян? Во всех трёх книгах серии ""Целитель"" много информации про реальные технологии, за которыми будущее"
Императрица,Иван Шаман,"Есихико Рэй, молодая девушка решившая отказаться от добровольного изгнания и изоляции собственной семьи мечтает создать собственный клан. Самый могущественный и многочисленный. Она твердо решила, что ни что не сможет остановить ее на этом пути. Но так ли это?Сможет ли она преодолеть собственные страхи? Пережить боль и страдания? Смерти миллиардов? Зомби апокалипсис? Любовь?"
Возрождение первородной,Светлана Овчинникова,"Маги Смерти, мир, где живым нет места и она, брошенная среди них сильнейшим из Повелителей. Он знал, что с планеты первородных нет обратного пути, однако пророчество, и сама Судьба обещали ей будущее. Будущее, где она возродится, чтобы отомстить и спасти свою расу от гибели."
По ту сторону Алой Реки,Василий Криптонов,"""У вампиров свои дела, у нас - свои"", - веками говорят люди, глядя на власть имущих. Они сильны и свободны, их влекут страсти, недоступные людям. Но привычный уклад рушится, когда на престол восходит король Эрлот. У людей забирают последнее - право на жизнь.Через гибнущий мир идут двое. Мальчик и девочка, сын человека и дочь павшего короля вампиров, потерявшие все, кроме друг друга и безумной надежды: добраться до берегов Алой Реки и либо умереть, либо обрести силу, которая уничтожит саму смерть."
Я тебя получу,Astra Maore,"Беги — не беги, он все равно тебя не отпустит. Потому что ты - кровь в его венах, его самый сильный наркотик, его истинная любовь.  Беги и открой безжалостную охоту на свое сердце.1. Бизнесмен Антон жестоко развлекается, пытаясь забыть ту, что выжгла его сердце.2. Люди босса Рамона Саторо ловят для него на улице новую «игрушку».3. Исповедь грешника для Тебя.4. Юная царевна обречена: ее насильно выдают замуж за свирепого оборотня, который утверждает, что они - истинная пара.5. Чтобы спасти братика, Анна проваливается под землю к злобному колдуну.6. Наивная Птичка оказывается в пещере жуткого демона.7. Марию похищают прямо в автобусе, чтобы рассказать шокирующую правду.СТРОГО ХЭ!"
Алчущие,Ливадный Андрей Львович,"Алекс и Энея вернулись в «Хрустальную Сферу», где миром правят Алчущие - гибридные личности, возникшие на базе высокоуровневых НПС.Охота за нейрограммами подвергает пользователей постоянному смертельному риску, — теперь уже никто не застрахован от гибели.Выжить в дающем сбои виртуальном мире становиться все сложнее. На кластер Агриона надвигается армия Алчущих. Единственным и последним оплотом стал замок Рион, но силы неравны…"
PSO 1. Первый Уровень,Нил Алмазов,"Михаил, сидя с джойстиком в руках, попадает неизвестным ему способом в игру, где люди, андроиды и ньюманы живут в согласии и мире. Здесь соседствуют высокие технологии и магия, строгие правила поведения в обществе и услуги по снижению сладострастия, иные нормы морали и собственные нравственные ценности. У них одна общая цель: выяснить причину разрушения Центрального Купола и гибели первых переселенцев на опасную ныне планету Рагол. Михаил же ставит другую цель: выбраться в реальность или хотя бы в режим «онлайн», ведь его окружает сплошной искусственный интеллект. Однако, у правительства появляются совершенно другие планы на него, о чём главный герой узнаёт не сразу... Нет, он не избранный. Он – настоящий."
Император по случаю.  Книга пятая,Москаленко Юрий Николаевич,заключительная часть саги
Среди эсперов и богов. Том 2,Виктор Литовцев,"С помощью хитрости, лжи и обаяния Паулина Яманкан стала президентом студсовета Университета. Но это лишь первая ступенька на пути к реальной власти. Не смотря на поддержку студентов, ей требуется более существенное влияние, и для этого как никогда подойдет таинственный ростовщик Берлин, который развернул свою сеть по всему студгородку…. Только вот у Германа Бергмана тоже есть на него планы, и они совсем не совпадают с её."
Вредители по найму,Магазинников Иван,"Что делать юному вредителю, воспитаннику ведьм, задолжавшему серьезные деньги серьезным нелюдям? Искать работу! А еще лучше, открыть собственное 'Бюро гарантированных неприятностей'. Подружиться со злобным домовым, нанять в телохранители вурдалака, проклясть местных громил-вымогателей, пойти в услужение к некроманту, проникнуть в замок вампиров... И вредить, вредить много и качественно, ведь именно за это ему и платят!"
Создатель Героев. Чёрно-белый генерал,Юрий Розин,"Пентакосм. Странный искусственный мир, слепленный из кусочков. Мир, в котором магия и технологии переплелись так плотно, что уже неотделимы друг от друга. Один мир, в котором объединились двенадцать. В столице маленького королевства, где никто даже не представляет истинного значения слова «Оператор», молодая девушка спасает от избиения нищего. Не самое подходящее начало для истории про героев, согласитесь? Но все меняется, стоит только узнать, как этого нищего зовут."
S-T-I-K-S. Цвет ее глаз,Артем Каменистый,"Мы - лучшие, мы элита мира красоты. Высокие стены оберегают нас от мужской назойливости и опасностей Стикса. Нашу привлекательность шлифуют выдающиеся мастера своего дела, над образованием работают лучшие педагоги. И каждая воспитанница в итоге должна стать покорной избранницей важного господина. Но, несмотря на строжайшее воспитание, есть среди нас те, которые готовы пойти на немыслимое - поменять безопасность и комфорт Цветника на риск свободы. Все, что для этого надо - перебраться через стену, преодолеть охранные периметры, избежать внимания патрулей, избавиться от следящего браслета. И, главное - не дать себя убить, ведь в мире, где правит Смерть, у нас нет друзей, зато врагов великое множество."
